EmployeeKey,ParentEmployeeKey,FirstName,LastName,Title,HireDate,BirthDate,EmailAddress,Phone,EmergencyContactName,EmergencyContactPhone,Gender,PayFrequency,BaseRate,VacationHours,DepartmentName,StartDate,Status,SalaryStatus,IsSalesPerson,IsMarried
41,6,Ties,Arts,Sales Store Manager,1999-01-10,1974-12-19,michael0@contoso.com,218-555-0126,Dimple Arya,218-555-0126,Male,1,25.0,40,Production,1999-01-10,Current,Not Salaried,No,No
42,6,Daniel,Taylor,Sales Store Manager,1999-01-10,1979-05-17,yvonne0@contoso.com,286-555-0189,Maurice Taylor,286-555-0189,Female,1,25.0,40,Production,1999-01-10,Current,Not Salaried,No,Yes
43,6,Ronen,Ashkenazi,Sales Store Manager,1999-01-10,1966-04-19,peng0@contoso.com,164-555-0164,Roya Asbari,164-555-0164,Male,2,25.0,40,Quality Assurance,1999-01-10,Current,Salaried,No,Yes
44,6,Hans-Walter,Untch,Sales Store Manager,1999-01-12,1966-01-13,jean0@contoso.com,685-555-0120,Sunil Uppal,685-555-0120,Female,2,25.0,40,Information Services,1999-01-12,Current,Salaried,No,No
45,6,Chris,Ashton,Sales Store Manager,1999-01-13,1962-12-27,russell0@contoso.com,786-555-0144,Sameer Athalye,786-555-0144,Male,1,25.0,40,Production,1999-01-13,Current,Not Salaried,No,Yes
46,6,Michael,Vanderhyde,Sales Store Manager,1999-01-13,1958-10-19,ascott0@contoso.com,992-555-0194,Esther Valle,992-555-0194,Male,2,25.0,40,Production Control,1999-01-13,Current,Not Salaried,No,No
47,6,Vivian,Atlas,Sales Store Manager,1999-01-13,1979-07-27,fred0@contoso.com,818-555-0192,Kai Axford,818-555-0192,Male,1,25.0,40,Production,1999-01-13,Current,Not Salaried,No,No
48,6,Robin,Wakefield,Sales Store Manager,1999-01-13,1977-06-21,sariya0@contoso.com,399-555-0176,Darren Waite,399-555-0176,Male,2,25.0,40,Marketing,1999-01-13,Current,Not Salaried,No,No
49,6,Anahita,Bahrami,Sales Store Manager,1999-01-14,1968-08-18,willis0@contoso.com,778-555-0141,Josh Bailey,778-555-0141,Male,2,25.0,40,Human Resources,1999-01-14,Current,Not Salaried,No,No
50,6,Pieter,Wycoff,Sales Store Manager,1999-01-15,1969-08-06,jun0@contoso.com,299-555-0113,David Wright,299-555-0113,Male,1,25.0,40,Production,1999-01-15,Current,Not Salaried,No,No
51,6,Dev,Balasubramanian,Sales Store Manager,1999-01-15,1966-02-18,christian0@contoso.com,846-555-0157,Yossi Banai,846-555-0157,Male,2,25.0,40,Facilities and Maintenance,1999-01-15,Current,Salaried,No,Yes
52,6,Steven,Wright,Sales Store Manager,1999-01-15,1973-05-03,susan1@contoso.com,639-555-0164,Makoto Yamagishi,639-555-0164,Female,1,25.0,40,Production,1999-01-15,Current,Not Salaried,No,No
54,6,Eiji,Yasuda,Sales Store Manager,1999-01-16,1975-03-10,kirk0@contoso.com,669-555-0150,Arthur Yasinski,669-555-0150,Male,1,25.0,40,Production,1999-01-16,Current,Not Salaried,No,No
55,6,Ed,Banti,Sales Store Manager,1999-01-16,1975-01-30,david2@contoso.com,712-555-0119,Evan Basalik,712-555-0119,Male,1,25.0,33,Production,1999-01-16,Current,Not Salaried,No,Yes
56,6,Mrina,Natarajan,Sales Store Manager,1999-01-17,1980-05-29,tengiz0@contoso.com,910-555-0116,Kirk J. Nason,910-555-0116,Male,2,25.0,76,Document Control,1999-01-17,Current,Not Salaried,No,No
57,6,Dave,Barnett,Sales Store Manager,1999-01-17,1964-11-16,hanying0@contoso.com,319-555-0139,Josh Barnhill,319-555-0139,Male,1,25.0,15,Production,1999-01-17,Current,Not Salaried,No,No
58,6,Manuel,Oliveira,Sales Store Manager,1999-01-18,1976-01-26,kevin1@contoso.com,714-555-0138,Neil Orint,714-555-0138,Male,1,25.0,58,Production,1999-01-18,Current,Not Salaried,No,No
59,6,Adam,Barr,Sales Store Manager,1999-01-18,1967-01-27,annik0@contoso.com,499-555-0125,Chris Barry,499-555-0125,Male,1,25.0,17,Production,1999-01-18,Current,Not Salaried,No,Yes
60,7,Rok,Palcic,Sales Store Manager,1999-01-18,1968-03-28,suroor0@contoso.com,932-555-0161,Ian Palangio,932-555-0161,Male,1,25.0,93,Production,1999-01-18,Current,Not Salaried,No,No
61,7,Shai,Bassli,Sales Store Manager,1999-01-19,1966-04-07,deborah0@contoso.com,602-555-0194,Deborah Baumfeld,602-555-0194,Female,2,25.0,60,Finance,1999-01-19,Current,Not Salaried,No,Yes
62,7,Yossi,Ran,Sales Store Manager,1999-01-20,1976-10-09,jim0@contoso.com,679-555-0113,Rajesh Ramanathan,679-555-0113,Male,1,25.0,1,Production,1999-01-20,Current,Not Salaried,No,Yes
63,7,Shaun,Beasley,Sales Store Manager,1999-01-20,1973-11-19,carole0@contoso.com,688-555-0192,Mark Bebbington,688-555-0192,Female,1,25.0,42,Production,1999-01-20,Current,Not Salaried,No,Yes
64,7,Karolina,Salas-Szlejter,Sales Store Manager,1999-01-22,1967-05-18,george0@contoso.com,518-555-0199,Tamer Salah,518-555-0199,Male,1,25.0,26,Production,1999-01-22,Current,Not Salaried,No,Yes
65,7,Anna,Bedecs,Sales Store Manager,1999-01-23,1978-06-17,gary0@contoso.com,901-555-0125,Parry Bedi,901-555-0125,Male,1,25.0,69,Production,1999-01-23,Current,Not Salaried,No,No
66,7,Oliver,Szimmetat,Sales Store Manager,1999-01-23,1974-05-13,cristian0@contoso.com,434-555-0133,Radoslaw Szymczak,434-555-0133,Male,2,25.0,67,Production,1999-01-23,Current,Not Salaried,No,Yes
67,7,Ann,Beebe,Sales Store Manager,1999-01-24,1957-04-02,raymond0@contoso.com,226-555-0197,Kostadin Belishky,226-555-0197,Male,1,25.0,10,Production,1999-01-24,Current,Not Salaried,No,Yes
68,7,Jeff,Teper,Sales Store Manager,1999-01-24,1975-03-03,janaina0@contoso.com,623-555-0155,Rakesh Tangirala,623-555-0155,Female,2,25.0,71,Information Services,1999-01-24,Current,Salaried,No,Yes
69,7,Allie,Bellew,Sales Store Manager,1999-01-25,1969-09-16,bob0@contoso.com,611-555-0116,Almudena Benito,611-555-0116,Male,1,25.0,12,Production,1999-01-25,Current,Not Salaried,No,No
70,7,Siri,Velauthapillai,Sales Store Manager,1999-01-25,1970-11-05,shammi0@contoso.com,793-555-0179,Garrett Vargas,793-555-0179,Male,1,25.0,66,Production,1999-01-25,Current,Not Salaried,No,Yes
71,7,Nuno,Bento,Sales Store Manager,1999-01-26,1977-08-17,linda0@contoso.com,612-555-0171,Karen Berg,612-555-0171,Female,1,25.0,96,Production,1999-01-26,Current,Not Salaried,No,Yes
72,7,Anne,Wallace,Sales Store Manager,1999-01-26,1974-12-22,mindy0@contoso.com,522-555-0147,Larry Waldman,522-555-0147,Female,2,25.0,51,Human Resources,1999-01-26,Current,Not Salaried,No,Yes
73,7,Matt,Berg,Sales Store Manager,1999-01-26,1974-11-12,wendy0@contoso.com,248-555-0134,Martin Berka,248-555-0134,Female,2,25.0,55,Finance,1999-01-26,Current,Salaried,No,No
74,7,John,Yokim,Sales Store Manager,1999-01-27,1974-06-01,kim0@contoso.com,309-555-0129,Norimichi Yonekura,309-555-0129,Female,1,25.0,98,Shipping and Receiving,1999-01-27,Current,Not Salaried,No,No
75,7,Antonio,Bermejo,Sales Store Manager,1999-01-27,1965-12-06,sandra0@contoso.com,896-555-0168,Matthias Berndt,896-555-0168,Female,1,25.0,37,Production,1999-01-27,Current,Not Salaried,No,Yes
76,7,Robert,Zare,Sales Store Manager,1999-01-28,1970-05-30,kok-ho0@contoso.com,999-555-0155,Amr Zaki,999-555-0155,Male,2,25.0,78,Production,1999-01-28,Current,Not Salaried,No,No
77,8,Michael,Berroth,Sales Store Manager,1999-01-28,1975-12-26,douglas0@contoso.com,808-555-0172,Dana Birkby,808-555-0172,Male,1,25.0,80,Production,1999-01-28,Current,Not Salaried,No,Yes
79,8,Jimmy,Bischoff,Sales Store Manager,1999-01-29,1966-04-07,sean0@contoso.com,420-555-0173,Scott Bishop,420-555-0173,Male,2,25.0,82,Quality Assurance,1999-01-29,Current,Not Salaried,No,No
80,8,Michael,Neipper,Sales Store Manager,1999-01-29,1977-01-01,nitin0@contoso.com,143-555-0173,Jeremy Nelson,143-555-0173,Male,1,25.0,21,Production,1999-01-29,Current,Not Salaried,No,No
81,8,Ari,Bixhorn,Sales Store Manager,1999-01-30,1976-07-06,diane1@contoso.com,815-555-0138,Neil Black,815-555-0138,Female,2,25.0,62,Research and Development,1999-01-30,Current,Salaried,No,No
82,8,Paulo,Neves,Sales Store Manager,1999-01-30,1967-08-11,rebecca0@contoso.com,314-555-0113,Belinda Newman,314-555-0113,Female,1,25.0,23,Production,1999-01-30,Current,Not Salaried,No,Yes
83,8,Rex,Bloesser,Sales Store Manager,1999-02-01,1967-11-05,rajesh0@contoso.com,373-555-0137,Nikhil Bobde,373-555-0137,Male,1,25.0,48,Production,1999-02-01,Current,Not Salaried,No,Yes
84,8,Aaron,Nicholls,Sales Store Manager,1999-02-02,1974-09-02,vidur0@contoso.com,153-555-0186,Chad Niswonger,153-555-0186,Male,2,25.0,50,Human Resources,1999-02-02,Current,Not Salaried,No,No
85,8,Tomasz,Bochenek,Sales Store Manager,1999-02-02,1968-07-01,john1@contoso.com,172-555-0130,Catherine Boeger,172-555-0130,Male,1,25.0,91,Production,1999-02-02,Current,Not Salaried,No,No
86,8,Toby,Nixon,Sales Store Manager,1999-02-03,1978-12-21,nancy0@contoso.com,970-555-0118,Elly Nkya,970-555-0118,Female,1,25.0,34,Production,1999-02-03,Current,Not Salaried,No,Yes
87,8,Corinna,Bolender,Sales Store Manager,1999-02-03,1962-10-11,pilar0@contoso.com,577-555-0185,Srikanth Bolisetty,577-555-0185,Male,2,25.0,93,Shipping and Receiving,1999-02-03,Current,Salaried,No,No
88,8,Fabricio,Noriega,Sales Store Manager,1999-02-03,1971-09-04,david3@contoso.com,373-555-0142,Chris Norred,373-555-0142,Male,1,25.0,32,Production,1999-02-03,Current,Not Salaried,No,No
89,8,Raffaella,Bonaldi,Sales Store Manager,1999-02-04,1973-08-02,david4@contoso.com,986-555-0177,Luis Bonifaz,986-555-0177,Male,2,25.0,73,Production,1999-02-04,Current,Not Salaried,No,No
90,8,Jerry,Orman,Sales Store Manager,1999-02-04,1971-01-26,laura0@contoso.com,777-555-0141,Tad Orman,777-555-0141,Female,1,25.0,75,Production,1999-02-04,Current,Not Salaried,No,No
91,8,Laurent,Bonnet,Sales Store Manager,1999-02-05,1976-06-20,margie0@contoso.com,818-555-0128,Randall Boseman,818-555-0128,Female,1,25.0,18,Production,1999-02-05,Current,Not Salaried,No,Yes
92,8,Danni,Ortman,Sales Store Manager,1999-02-05,1966-03-02,zainal0@contoso.com,204-555-0115,Jon Orton,204-555-0115,Male,2,25.0,77,Document Control,1999-02-05,Current,Not Salaried,No,Yes
93,8,Thomas,Bouchard,Sales Store Manager,1999-02-05,1978-12-28,lorraine0@contoso.com,845-555-0184,Eli Bowen,845-555-0184,Female,1,25.0,49,Production,1999-02-05,Current,Not Salaried,No,Yes
94,8,Scott,Oveson,Sales Store Manager,1999-02-05,1979-03-19,fadi0@contoso.com,935-555-0116,Inna Ozhogina,935-555-0116,Male,1,25.0,16,Production,1999-02-05,Current,Not Salaried,No,No
95,8,Marc,Boyer,Sales Store Manager,1999-02-06,1962-07-15,ryan0@contoso.com,208-555-0114,Jonas Brandel,208-555-0114,Male,1,25.0,59,Production,1999-02-06,Current,Not Salaried,No,Yes
96,8,Tude,Palma,Sales Store Manager,1999-02-07,1966-03-26,candy0@contoso.com,920-555-0177,Prakash Paramasivam,920-555-0177,Female,2,25.0,61,Finance,1999-02-07,Current,Not Salaried,No,No
97,8,Peter,Bankov,Sales Store Manager,1999-02-07,1969-04-29,nuan0@contoso.com,913-555-0184,Dushyant Bansal,913-555-0184,Male,1,25.0,2,Production,1999-02-07,Current,Not Salaried,No,No
98,8,Dan,Park,Sales Store Manager,1999-02-08,1971-12-08,DanPark@contoso.com,148-555-0145,Darren Parker,148-555-0145,Male,2,25.0,45,Production Control,1999-02-08,Current,Not Salaried,No,Yes
99,8,Bryan,Bredehoeft,Sales Store Manager,1999-02-08,1971-12-08,BryanB@contoso.com,148-555-0145,Peter Brehm,148-555-0145,Male,2,25.0,45,Production Control,2001-10-02,Current,Not Salaried,No,Yes
100,8,Rajesh,Patel,Sales Store Manager,1999-02-08,1979-12-08,bjorn0@contoso.com,199-555-0117,Sanjay Patel,199-555-0117,Male,1,25.0,43,Production,1999-02-08,Current,Not Salaried,No,No
101,8,Alan,Brewer,Sales Store Manager,1999-02-09,1977-03-13,scott0@contoso.com,391-555-0138,Markus Breyer,391-555-0138,Male,1,25.0,86,Production,1999-02-09,Current,Not Salaried,No,Yes
102,8,Dorena,Paschke,Sales Store Manager,1999-02-11,1981-02-04,michael1@contoso.com,454-555-0119,Michael Patten,454-555-0119,Male,1,25.0,70,Production,1999-02-11,Current,Not Salaried,No,No
103,8,Nick,Brigandi,Sales Store Manager,1999-02-12,1964-10-24,lane0@contoso.com,200-555-0117,David Bristol,200-555-0117,Male,1,25.0,11,Production,1999-02-12,Current,Not Salaried,No,Yes
104,8,Leonids,Paturskis,Sales Store Manager,1999-02-12,1967-03-07,pete0@contoso.com,768-555-0123,Flemming Pedersen,768-555-0123,Male,1,25.0,13,Production,1999-02-12,Current,Not Salaried,No,No
105,8,Allison,Brown,Sales Store Manager,1999-02-12,1971-07-28,dan0@contoso.com,166-555-0159,Jed Brown,166-555-0159,Male,2,25.0,72,Information Services,1999-02-12,Current,Salaried,No,Yes
106,8,Yael,Peled,Sales Store Manager,1999-02-13,1954-07-23,david5@contoso.com,477-555-0132,Laurent Penisson,477-555-0132,Male,2,25.0,56,Finance,1999-02-13,Current,Not Salaried,No,No
107,8,Robert,Brown,Sales Store Manager,1999-02-13,1963-02-25,lolan0@contoso.com,582-555-0178,Scott Brown,582-555-0178,Male,1,25.0,7,Production,1999-02-13,Current,Not Salaried,No,Yes
108,8,Lori,Penor,Sales Store Manager,1999-02-13,1977-03-13,paula1@contoso.com,476-555-0119,Lionel Penuchot,476-555-0119,Female,1,25.0,54,Production,1999-02-13,Current,Not Salaried,No,Yes
109,8,Daniel,Brunner,Sales Store Manager,1999-02-13,1952-10-14,mary0@contoso.com,531-555-0183,Chloe Brussard,531-555-0183,Female,2,25.0,46,Marketing,1999-02-13,Current,Not Salaried,No,Yes
110,9,Michel,Pereira,Sales Store Manager,1999-02-14,1968-06-07,mindaugas0@contoso.com,637-555-0120,Tom Perham,637-555-0120,Male,1,25.0,97,Production,1999-02-14,Current,Not Salaried,No,Yes
111,9,Chris,Bryant,Sales Store Manager,1999-02-15,1975-02-20,eric0@contoso.com,260-555-0119,Susan Burk,260-555-0119,Male,2,25.0,40,Production,1999-02-15,Current,Not Salaried,No,Yes
112,9,Wirote,Petchdenlarp,Sales Store Manager,1999-02-15,1959-03-02,ken0@contoso.com,697-555-0142,Cristian Petculescu,697-555-0142,Male,2,25.0,99,Executive,1999-02-15,Current,Salaried,No,No
113,9,Brian,Burke,Sales Store Manager,1999-02-15,1979-01-08,jason0@contoso.com,571-555-0179,Ovidiu Burlacu,571-555-0179,Male,1,25.0,38,Production,1999-02-15,Current,Not Salaried,No,No
114,9,Palle,Petersen,Sales Store Manager,1999-02-16,1976-05-31,mark0@contoso.com,147-555-0179,Pierangela Pezzini,147-555-0179,Male,2,25.0,83,Quality Assurance,1999-02-16,Current,Not Salaried,No,No
115,9,Tzipi,Butnaru,Sales Store Manager,1999-02-16,1962-08-25,janeth0@contoso.com,540-555-0191,Dennis Bye,540-555-0191,Female,1,25.0,81,Production,1999-02-16,Current,Not Salaried,No,No
116,9,Terrence,Philip,Sales Store Manager,1999-02-17,1976-11-24,marc0@contoso.com,234-555-0169,Jeff Phillips,234-555-0169,Male,1,25.0,22,Production,1999-02-17,Current,Not Salaried,No,Yes
117,9,Rick,Byham,Sales Store Manager,1999-02-17,1969-02-21,gigi0@contoso.com,185-555-0186,Randy Byrne,185-555-0186,Female,2,25.0,63,Research and Development,1999-02-17,Current,Salaried,No,Yes
118,9,Michal,Piaseczny,Sales Store Manager,1999-02-18,1980-12-05,paul1@contoso.com,727-555-0112,Guido Pica,727-555-0112,Male,1,25.0,6,Production,1999-02-18,Current,Not Salaried,No,Yes
119,9,Reina,Cabatana,Sales Store Manager,1999-02-18,1977-10-07,frank0@contoso.com,158-555-0191,Ryan Calafato,158-555-0191,Male,1,25.0,56,Production,1999-02-18,Current,Not Salaried,No,Yes
120,9,Pilar,Pinilla,Sales Store Manager,1999-02-18,1965-06-17,françois0@contoso.com,785-555-0110,Armando Pinto,785-555-0110,Male,2,25.0,67,Information Services,1999-02-18,Current,Salaried,No,No
121,9,Iulian,Calinov,Sales Store Manager,1999-02-19,1979-09-10,diane2@contoso.com,361-555-0180,Geert Camelbeke,361-555-0180,Female,1,25.0,8,Production,1999-02-19,Current,Not Salaried,No,No
122,9,Tanja,Plate,Sales Store Manager,1999-02-19,1969-07-19,jill0@contoso.com,510-555-0121,Idan Plonsky,510-555-0121,Female,2,25.0,47,Marketing,1999-02-19,Current,Not Salaried,No,Yes
123,9,Maria,Cameron,Sales Store Manager,1999-02-21,1981-07-01,angela0@contoso.com,150-555-0194,David Campbell,150-555-0194,Female,1,25.0,92,Production,1999-02-21,Current,Not Salaried,No,No
124,9,Ekaterina,Podkolzina,Sales Store Manager,1999-02-21,1963-12-13,matthias0@contoso.com,139-555-0120,Toni Poe,139-555-0120,Male,2,25.0,94,Shipping and Receiving,1999-02-21,Current,Not Salaried,No,Yes
125,9,Jamie,Campbell,Sales Store Manager,1999-02-22,1963-09-28,bryan0@contoso.com,712-555-0113,Fabrice Canel,712-555-0113,Male,1,25.0,35,Production,1999-02-22,Current,Not Salaried,No,No
126,9,Grigory,Pogulsky,Sales Store Manager,1999-02-22,1967-02-16,jeff0@contoso.com,350-555-0167,Carole Poland,350-555-0167,Male,2,25.0,74,Production,1999-02-22,Current,Not Salaried,No,Yes
127,9,Paul,Cannon,Sales Store Manager,1999-02-22,1977-08-15,eugene0@contoso.com,241-555-0191,Jon Cantrell,241-555-0191,Male,1,25.0,33,Production,1999-02-22,Current,Not Salaried,No,No
128,9,Josh,Pollock,Sales Store Manager,1999-02-23,1969-08-02,barbara0@contoso.com,119-555-0192,Laura Steele Polly,119-555-0192,Female,1,25.0,17,Production,1999-02-23,Current,Not Salaried,No,Yes
129,9,Cyril,Carbonati,Sales Store Manager,1999-02-23,1979-01-17,chris0@contoso.com,200-555-0112,Richard Carey,200-555-0112,Male,1,25.0,76,Production,1999-02-23,Current,Not Salaried,No,Yes
130,9,Cristina,Potra,Sales Store Manager,1999-02-23,1977-04-12,sean1@contoso.com,205-555-0132,Houman Pournasseh,205-555-0132,Male,2,25.0,78,Document Control,1999-02-23,Current,Not Salaried,No,No
